timestamp,open,high,low,close,volume
2026-07-04 11:40:00,1.14041,1.14163,1.14011,1.14163,21414.05172979
2026-07-04 11:45:00,1.14146,1.14197,1.14049,1.14182,24855.5238025
2026-07-04 11:50:00,1.14181,1.14181,1.13948,1.13948,356686.35614663
2026-07-04 11:55:00,1.13955,1.14003,1.1393,1.13931,38532.84899311
2026-07-04 12:00:00,1.13918,1.14083,1.13902,1.14008,16666.99020331
2026-07-04 12:05:00,1.14017,1.14077,1.14002,1.14055,3236.03265449
2026-07-04 12:10:00,1.14071,1.14299,1.1407,1.142,45267.86006884
2026-07-04 12:15:00,1.142,1.14386,1.14173,1.14386,479877.81048057
2026-07-04 12:20:00,1.14318,1.1455,1.14256,1.14476,72644.5123388
2026-07-04 12:25:00,1.14473,1.152,1.14403,1.15154,206783.87831531
2026-07-04 12:30:00,1.15157,1.15395,1.14794,1.14848,275128.56106389
2026-07-04 12:35:00,1.14829,1.14829,1.14604,1.14677,92287.47466849
2026-07-04 12:40:00,1.14569,1.14584,1.14473,1.1451,35295.27114842
2026-07-04 12:45:00,1.14473,1.14474,1.14266,1.14373,40746.14433985
2026-07-04 12:50:00,1.14372,1.14612,1.14324,1.14612,15367.86473772
2026-07-04 12:55:00,1.14591,1.14737,1.14532,1.1467,43593.27052314
2026-07-04 13:00:00,1.14705,1.15417,1.14671,1.15114,64957.82983815
2026-07-04 13:05:00,1.15082,1.15089,1.14736,1.14939,21871.79552652
2026-07-04 13:10:00,1.14958,1.15133,1.14872,1.15081,95031.41018949
2026-07-04 13:15:00,1.15065,1.15859,1.15024,1.15826,220116.1014738
2026-07-04 13:20:00,1.15855,1.1611,1.15408,1.15442,508130.87362708
2026-07-04 13:25:00,1.15399,1.15524,1.15208,1.15303,57548.37374285
2026-07-04 13:30:00,1.15194,1.15229,1.14901,1.15101,255151.26590338
2026-07-04 13:35:00,1.15098,1.15136,1.14988,1.15095,78812.27212117
2026-07-04 13:40:00,1.15003,1.15089,1.14903,1.15057,36235.91997699
2026-07-04 13:45:00,1.15053,1.15053,1.14773,1.1483,118412.4384949
2026-07-04 13:50:00,1.14842,1.14911,1.14775,1.14909,4139.5187666
2026-07-04 13:55:00,1.14905,1.15268,1.14899,1.15243,45312.3144101
2026-07-04 14:00:00,1.15191,1.15716,1.15175,1.15591,162537.73004289
2026-07-04 14:05:00,1.15581,1.16126,1.15581,1.15627,229290.28881959
2026-07-04 14:10:00,1.15625,1.1678,1.15622,1.1653,748395.7404543
2026-07-04 14:15:00,1.16554,1.16773,1.16174,1.16174,153069.63771779
2026-07-04 14:20:00,1.16173,1.164,1.15825,1.16077,113771.26646305
2026-07-04 14:25:00,1.16073,1.16312,1.1593,1.16293,79638.27408938
2026-07-04 14:30:00,1.16353,1.16491,1.16145,1.16164,54142.81813629
2026-07-04 14:35:00,1.16161,1.16428,1.16156,1.16363,215240.00308516
2026-07-04 14:40:00,1.16363,1.17335,1.16328,1.1689,391608.03870784
2026-07-04 14:45:00,1.16911,1.17097,1.16468,1.1659,228331.67440226
2026-07-04 14:50:00,1.16648,1.17189,1.16596,1.17143,314357.75302403
2026-07-04 14:55:00,1.17125,1.17383,1.17072,1.17183,293833.89939022
2026-07-04 15:00:00,1.17266,1.17447,1.17124,1.17369,286659.71399386
2026-07-04 15:05:00,1.17358,1.1784,1.17182,1.1774,452611.12631704
2026-07-04 15:10:00,1.1769,1.17915,1.16925,1.16991,324943.78643165
2026-07-04 15:15:00,1.16991,1.17214,1.16772,1.16772,212823.28803958
2026-07-04 15:20:00,1.16751,1.16977,1.16632,1.16873,98052.07199397
2026-07-04 15:25:00,1.17009,1.17251,1.16722,1.17244,61759.23259553
2026-07-04 15:30:00,1.17284,1.17561,1.16903,1.17084,138435.54572531
